site,x,y,date,year,month,rainfall,sun_hours,tasmin,tasmax
Raindrop_Wytham,446500,208500,16/07/2015,2015,7,60.65657453,199.0548532,11.88179641,21.62682262
Raindrop_Wytham,446500,208500,16/08/2015,2015,8,61.21739646,134.5307438,12.3765929,20.46316442
Raindrop_Wytham,446500,208500,16/09/2015,2015,9,43.65945978,163.3098819,8.445715696,17.52749575
Raindrop_Wytham,446500,208500,16/10/2015,2015,10,55.72736104,83.27630174,7.587424482,14.50892179
Raindrop_Wytham,446500,208500,16/11/2015,2015,11,80.43277606,33.72225228,6.983952043,12.39168001
Raindrop_Wytham,446500,208500,16/12/2015,2015,12,72.97504234,38.33537352,7.956469857,12.6056773
Raindrop_Wytham,446500,208500,16/01/2016,2016,1,96.78297294,58.61200522,2.44958424,8.633735508
Raindrop_Wytham,446500,208500,16/02/2016,2016,2,55.65892652,111.9965186,2.009721103,8.345933825
Raindrop_Wytham,446500,208500,16/03/2016,2016,3,81.73608781,122.8047883,1.718424714,9.439104852
Raindrop_Wytham,446500,208500,16/04/2016,2016,4,55.79382658,163.1837466,3.545076031,12.1694992
Raindrop_Wytham,446500,208500,16/05/2016,2016,5,79.53567632,202.1829966,8.203132308,17.56304898
Raindrop_Wytham,446500,208500,16/06/2016,2016,6,86.76910115,100.2435821,11.61724769,19.37802313
Raindrop_Wytham,446500,208500,16/07/2016,2016,7,6.641040512,224.5422217,13.03249501,22.31725718
Raindrop_Wytham,446500,208500,16/08/2016,2016,8,46.3883696,202.4830456,13.04195652,22.59052961
Raindrop_Wytham,446500,208500,16/09/2016,2016,9,50.08537108,112.6765731,12.58802836,20.21968779
Raindrop_Wytham,446500,208500,16/10/2016,2016,10,21.01954884,111.0490806,7.071783335,14.43030952
Raindrop_Wytham,446500,208500,16/11/2016,2016,11,91.64149614,88.34418025,2.81472926,8.934449345
Raindrop_Wytham,446500,208500,16/12/2016,2016,12,30.02971094,62.174685,2.558883809,9.015004603
Raindrop_Wytham,446500,208500,16/01/2017,2017,1,72.46910333,64.01671702,0.488886294,6.796177522
Raindrop_Wytham,446500,208500,16/02/2017,2017,2,37.02532341,57.68499436,3.68095688,8.733827584
Raindrop_Wytham,446500,208500,16/03/2017,2017,3,45.3230479,114.1604542,5.334166908,12.79423631
Raindrop_Wytham,446500,208500,16/04/2017,2017,4,7.35036963,174.0928915,4.201222098,14.200366
Raindrop_Wytham,446500,208500,16/05/2017,2017,5,82.3028082,169.3758033,9.109704119,18.1830052
Raindrop_Wytham,446500,208500,16/06/2017,2017,6,36.9721925,211.354609,12.33887571,21.56285869
Raindrop_Wytham,446500,208500,16/07/2017,2017,7,82.49221681,177.9740484,13.3128878,22.25700014
Raindrop_Wytham,446500,208500,16/08/2017,2017,8,70.44262031,174.3622481,11.97736259,20.45331442
Raindrop_Wytham,446500,208500,16/09/2017,2017,9,84.21713472,118.5607285,10.0405472,17.73917162
Raindrop_Wytham,446500,208500,16/10/2017,2017,10,17.77375378,96.23294268,9.350197646,15.66084944
Raindrop_Wytham,446500,208500,16/11/2017,2017,11,58.67260142,99.60639613,3.418089771,10.12304522
Raindrop_Wytham,446500,208500,16/12/2017,2017,12,97.01444351,55.68073731,2.177039647,7.709415556
Raindrop_Wytham,446500,208500,16/01/2018,2018,1,68.5809882,67.22359842,2.715491293,8.450405007
Raindrop_Wytham,446500,208500,16/02/2018,2018,2,25.27719598,116.7988345,-0.252235626,5.808744505
Raindrop_Wytham,446500,208500,16/03/2018,2018,3,104.826448,78.41417156,2.013614782,8.400443253
Raindrop_Wytham,446500,208500,16/04/2018,2018,4,58.74060293,120.8379639,7.057531603,13.58224131
Raindrop_Wytham,446500,208500,16/05/2018,2018,5,105.7112685,233.5619039,8.21239871,19.15611449
Raindrop_Wytham,446500,208500,16/06/2018,2018,6,2.092612208,251.3147955,11.26059756,22.04568743
Raindrop_Wytham,446500,208500,16/07/2018,2018,7,22.68308134,279.7902504,13.78133547,26.58393737
Raindrop_Wytham,446500,208500,16/08/2018,2018,8,49.3003502,196.3488538,12.63779909,22.45937841
Raindrop_Wytham,446500,208500,16/09/2018,2018,9,28.77230442,168.0256548,9.590705529,19.2463702
Raindrop_Wytham,446500,208500,16/10/2018,2018,10,58.38182824,115.906359,6.780807362,14.88012329
Raindrop_Wytham,446500,208500,16/11/2018,2018,11,63.78196633,82.36853327,5.229416391,11.06559232
Raindrop_Wytham,446500,208500,16/12/2018,2018,12,83.25722809,53.62874883,4.451086149,9.641885337
Raindrop_Wytham,446500,208500,16/01/2019,2019,1,30.2327285,49.78196051,0.866289392,6.592664724
Raindrop_Wytham,446500,208500,16/02/2019,2019,2,38.61982316,126.6930951,1.93910986,11.21608847
Raindrop_Wytham,446500,208500,16/03/2019,2019,3,41.96418091,126.9523951,4.757059628,11.82752136
Raindrop_Wytham,446500,208500,16/04/2019,2019,4,25.97906582,158.1202728,4.09252069,14.24928624
Raindrop_Wytham,446500,208500,16/05/2019,2019,5,26.77494758,202.839874,6.584193734,17.04908122
Raindrop_Wytham,446500,208500,16/06/2019,2019,6,97.92271574,164.4759027,10.43671201,19.39916686
Raindrop_Wytham,446500,208500,16/07/2019,2019,7,46.34043,211.1811138,13.16903278,23.45370725
Raindrop_Wytham,446500,208500,16/08/2019,2019,8,61.88797605,213.3138041,12.78374197,22.7498076
Raindrop_Wytham,446500,208500,16/09/2019,2019,9,90.74985694,175.2349523,10.14429078,19.54659225
Raindrop_Wytham,446500,208500,16/10/2019,2019,10,131.1155804,83.13770192,7.085382175,13.77749526
Raindrop_Wytham,446500,208500,16/11/2019,2019,11,121.0326507,55.1654275,3.729040825,8.935465418
Raindrop_Wytham,446500,208500,16/12/2019,2019,12,99.96748235,72.53591179,3.161213172,8.817396115
Raindrop_Wytham,446500,208500,16/01/2020,2020,1,62.10145773,70.80204985,4.115451116,8.98678024
Raindrop_Wytham,446500,208500,16/02/2020,2020,2,109.6723973,87.85011423,3.4202012,9.827715396
Raindrop_Wytham,446500,208500,16/03/2020,2020,3,41.49153915,157.1510914,2.733869611,10.71538198
Raindrop_Wytham,446500,208500,16/04/2020,2020,4,44.12275916,231.7625458,5.156542487,16.8097433
Raindrop_Wytham,446500,208500,16/05/2020,2020,5,2.790554062,321.6243095,7.13686145,19.37270594
Raindrop_Wytham,446500,208500,16/06/2020,2020,6,67.92791654,204.0615554,11.21283639,20.68672706
Raindrop_Wytham,446500,208500,16/07/2020,2020,7,65.58537579,199.6812321,12.16887589,21.47878673
Raindrop_Wytham,446500,208500,16/08/2020,2020,8,114.4979342,170.1534134,14.0358821,22.86407683
Raindrop_Wytham,446500,208500,16/09/2020,2020,9,24.32695924,173.701204,9.784321019,19.44148337
Raindrop_Wytham,446500,208500,16/10/2020,2020,10,190.0245191,71.81550755,7.913543719,13.66037013
Raindrop_Wytham,446500,208500,16/11/2020,2020,11,40.92217976,62.40954579,5.561475215,11.42606353
Raindrop_Wytham,446500,208500,16/12/2020,2020,12,102.3256682,60.86267934,2.66434073,7.480049895
Raindrop_Wytham,446500,208500,16/01/2021,2021,1,113.9516302,41.58052649,0.901041066,6.066880759
Raindrop_Wytham,446500,208500,16/02/2021,2021,2,55.2638935,73.28752871,2.145429295,8.351026153
Raindrop_Wytham,446500,208500,16/03/2021,2021,3,29.99865848,104.8635075,3.469691074,10.91267675
Raindrop_Wytham,446500,208500,16/04/2021,2021,4,42.03886258,213.1216732,1.188789158,11.80954641
Raindrop_Wytham,446500,208500,16/05/2021,2021,5,102.1533229,158.7663238,6.239608894,14.93501523
Raindrop_Wytham,446500,208500,16/06/2021,2021,6,65.71260163,180.8563321,11.8065347,20.5952167
Raindrop_Wytham,446500,208500,16/07/2021,2021,7,63.17914901,209.8731951,13.80304443,23.03346275
Raindrop_Wytham,446500,208500,16/08/2021,2021,8,55.46799969,142.0604766,12.58242628,20.20416536
Raindrop_Wytham,446500,208500,16/09/2021,2021,9,57.89499025,147.5826146,11.78290205,20.8880617
